date,Value,isPartial,Region,topic
2020-10-25,51,False,Nordjylland,News
2020-11-01,100,False,Nordjylland,News
2020-11-08,67,False,Nordjylland,News
2020-11-15,67,False,Nordjylland,News
2020-11-22,53,False,Nordjylland,News
2020-11-29,52,False,Nordjylland,News
2020-12-06,59,False,Nordjylland,News
2020-12-13,74,False,Nordjylland,News
2020-12-20,53,False,Nordjylland,News
2020-12-27,56,False,Nordjylland,News
2021-01-03,71,False,Nordjylland,News
2021-01-10,64,False,Nordjylland,News
2021-01-17,58,False,Nordjylland,News
2021-01-24,48,False,Nordjylland,News
2021-01-31,54,False,Nordjylland,News
2021-02-07,61,False,Nordjylland,News
2021-02-14,58,False,Nordjylland,News
2021-02-21,60,False,Nordjylland,News
2021-02-28,44,False,Nordjylland,News
2021-03-07,58,False,Nordjylland,News
2021-03-14,51,False,Nordjylland,News
2021-03-21,58,False,Nordjylland,News
2021-03-28,59,False,Nordjylland,News
2021-04-04,48,False,Nordjylland,News
2021-04-11,50,False,Nordjylland,News
2021-04-18,55,False,Nordjylland,News
2021-04-25,53,False,Nordjylland,News
2021-05-02,55,False,Nordjylland,News
2021-05-09,45,False,Nordjylland,News
2021-05-16,45,False,Nordjylland,News
2021-05-23,42,False,Nordjylland,News
2021-05-30,48,False,Nordjylland,News
2021-06-06,56,False,Nordjylland,News
2021-06-13,53,False,Nordjylland,News
2021-06-20,59,False,Nordjylland,News
2021-06-27,43,False,Nordjylland,News
2021-07-04,44,False,Nordjylland,News
2021-07-11,51,False,Nordjylland,News
2021-07-18,56,False,Nordjylland,News
2021-07-25,56,False,Nordjylland,News
2021-08-01,53,False,Nordjylland,News
2021-08-08,49,False,Nordjylland,News
2021-08-15,55,False,Nordjylland,News
2021-08-22,56,False,Nordjylland,News
2021-08-29,57,False,Nordjylland,News
2021-09-05,57,False,Nordjylland,News
2021-09-12,50,False,Nordjylland,News
2021-09-19,55,False,Nordjylland,News
2021-09-26,55,False,Nordjylland,News
2021-10-03,57,False,Nordjylland,News
2021-10-10,48,False,Nordjylland,News
2021-10-17,48,False,Nordjylland,News
2021-10-24,47,False,Nordjylland,News
2021-10-31,43,False,Nordjylland,News
2021-11-07,57,False,Nordjylland,News
2021-11-14,56,False,Nordjylland,News
2021-11-21,48,True,Nordjylland,News
2016-11-27,78,False,Nordjylland,Movies
2016-12-04,75,False,Nordjylland,Movies
2016-12-11,67,False,Nordjylland,Movies
2016-12-18,80,False,Nordjylland,Movies
2016-12-25,90,False,Nordjylland,Movies
2017-01-01,73,False,Nordjylland,Movies
2017-01-08,64,False,Nordjylland,Movies
2017-01-15,84,False,Nordjylland,Movies
2017-01-22,97,False,Nordjylland,Movies
2017-01-29,66,False,Nordjylland,Movies
2017-02-05,83,False,Nordjylland,Movies
2017-02-12,82,False,Nordjylland,Movies
2017-02-19,80,False,Nordjylland,Movies
2017-02-26,76,False,Nordjylland,Movies
2017-03-05,66,False,Nordjylland,Movies
2017-03-12,77,False,Nordjylland,Movies
2017-03-19,75,False,Nordjylland,Movies
2017-03-26,65,False,Nordjylland,Movies
2017-04-02,71,False,Nordjylland,Movies
2017-04-09,79,False,Nordjylland,Movies
2017-04-16,92,False,Nordjylland,Movies
2017-04-23,58,False,Nordjylland,Movies
2017-04-30,53,False,Nordjylland,Movies
2017-05-07,65,False,Nordjylland,Movies
2017-05-14,50,False,Nordjylland,Movies
2017-05-21,65,False,Nordjylland,Movies
2017-05-28,67,False,Nordjylland,Movies
2017-06-04,71,False,Nordjylland,Movies
2017-06-11,73,False,Nordjylland,Movies
2017-06-18,63,False,Nordjylland,Movies
