,index,City,year,Region,slope,intercept,R2,R2_adj,mean,trending
119,119,Blommenslyst,2021,Syddanmark,,,,,,0
120,120,Bogense,2017,Syddanmark,0.0454612396482541,2.1592194570135756,0.19984057757816365,0.1838373891297269,3.3639423076923074,0
121,121,Bogense,2018,Syddanmark,0.06125832408435081,3.4350678733031668,0.1111332668466034,0.09335593218353544,5.058413461538462,0
122,122,Bogense,2019,Syddanmark,-0.02128297618031241,9.128902714932126,0.007599684813286545,-0.012248321490447633,8.564903846153845,0
123,123,Bogense,2020,Syddanmark,0.1488020788867072,9.00581008044243,0.24485486294964554,0.22975196020863842,12.949065170940171,0
124,124,Bogense,2021,Syddanmark,0.19106310609350094,7.611002511820329,0.5346164221255529,0.5244993878239345,12.292048611111111,1
125,125,Bording,2017,Midtjylland,0.0,0.0,,,0.0,0
126,126,Bording,2018,Midtjylland,0.0,0.0,,,0.0,0
127,127,Bording,2019,Midtjylland,0.0,0.0,,,0.0,0
128,128,Bording,2020,Midtjylland,0.0,0.0,,,0.0,0
129,129,Bording,2021,Midtjylland,0.0,0.0,,,0.0,0
130,130,Borup,2017,Sjælland,-0.07225892171091947,5.860294117647058,0.13504395172476924,0.11774483075926456,3.9454326923076914,0
131,131,Borup,2018,Sjælland,0.35054533424400236,3.93602941176471,0.8021026132566179,0.7981446655217502,13.225480769230767,1
132,132,Borup,2019,Sjælland,0.12088117903184518,14.709389140271497,0.12287024583825545,0.1053276507550206,17.912740384615386,0
133,133,Borup,2020,Sjælland,0.21315946431789987,19.419516716943185,0.28361374209261137,0.26928601693446363,25.068242521367527,0
134,134,Borup,2021,Sjælland,0.4024678860906059,20.75540484633569,0.4621373520902583,0.4504446858313508,30.615868055555556,1
135,135,Brabrand,2017,Midtjylland,-0.04883923651265478,9.153221410942002,0.21477231508721872,0.1990677613889631,7.8589816433566435,0
136,136,Brabrand,2018,Midtjylland,0.25266763272798226,2.1574155623788016,0.6641522413603891,0.6574352861875968,8.853107829670328,1
137,137,Brabrand,2019,Midtjylland,0.011072002359460913,12.416236459618816,0.006341570050240608,-0.01353159854875452,12.709644522144524,0
138,138,Brabrand,2020,Midtjylland,0.2924510784874272,11.982362368024138,0.5934955708095939,0.5853654822257858,19.732315947940947,1
139,139,Brabrand,2021,Midtjylland,0.2618531534954404,18.571802600472804,0.4670849648966583,0.45549985543788996,24.98720486111111,1
140,140,Braedstrup,2017,Midtjylland,0.0,0.0,,,0.0,0
141,141,Braedstrup,2018,Midtjylland,0.0,0.0,,,0.0,0
142,142,Braedstrup,2019,Midtjylland,0.0,0.0,,,0.0,0
143,143,Braedstrup,2020,Midtjylland,0.0,0.0,,,0.0,0
144,144,Braedstrup,2021,Midtjylland,0.0,0.0,,,0.0,0
