"","Area_ID","Area_name.x","year","pop","pop_density"
"419","330-10003","Svenstrup","2017",1935,1481.6
"420","330-10158","Boeslunde","2017",779,1189.3
"421","330-10159","Eggeslevmagle","2017",201,1005
"422","330-10189","Kirke Stillinge","2017",704,1083.1
"423","330-10195","Havrebjerg","2017",406,1234
"424","330-10196","Sørbymagle","2017",1119,1359.7
"425","330-10197","Flakkebjerg","2017",447,1277.1
"426","330-10226","Dalmose","2017",1001,1158.6
"427","330-10275","Bisserup","2017",523,602.5
"428","330-10638","Rude","2017",270,909.1
"429","330-10697","Skælskør","2017",6491,1516.2
"430","330-11000","Slagelse","2017",33433,2061
"431","330-11266","Slots Bjergby","2017",799,1444.8
"432","330-11460","Rosted","2017",0,0
"433","330-14643","Agersø","2017",0,0
"434","330-16061","Sønderup","2017",207,1024.8
"435","330-70000","Frølunde Fed","2017",223,273.3
"436","330-70002","Næsby Strand","2017",0,0
"437","330-70102","Kongsmark Strand","2017",238,317.8
"438","330-70106","Stillinge Strand","2017",330,253.1
"439","330-99997","Uden fast bopæl","2017",208,0
"440","330-99999","Landdistrikter","2017",12284,23.2
"441","336-00336","Stevns Kommune","2017",0,0
"442","336-10004","Rødvig","2017",1783,1034.2
"443","336-10054","Hårlev","2017",2588,1352.1
"444","336-10055","Hellested","2017",568,1019.7
"445","336-10056","Strøby","2017",692,1875.3
"446","336-10057","Klippinge","2017",520,1762.7
"447","336-10058","Magleby","2017",333,1206.5
"448","336-10314","Strøby Egede","2017",4201,1465.8
"449","336-10315","Valløby","2017",760,1835.7
"450","336-10316","Vedskølle (del af flere kommuner)","2017",2,400
"451","336-10333","Holtug","2017",268,873
"452","336-10334","Sigerslev","2017",202,1025.4
"453","336-10342","Store Heddinge","2017",3420,1523.4
"454","336-16277","Havnelev-Boestofte","2017",261,548.3
"455","336-18396","Lyderslev","2017",337,875.3
"456","336-99997","Uden fast bopæl","2017",65,0
"457","336-99999","Landdistrikter","2017",6492,27.3
"458","340-00340","Sorø Kommune","2017",0,0
"459","340-10062","Dianalund","2017",4017,1603.6
"460","340-10142","Broby Overdrev","2017",222,932.8
"461","340-10143","Fjenneslev","2017",823,1626.5
"462","340-10144","Frederiksberg","2017",3473,1902
"463","340-10251","Skellebjerg","2017",0,0
"464","340-10265","Tersløse","2017",227,1060.7
"465","340-10269","Ruds Vedby","2017",1764,1587.8
"466","340-10390","Nyrup","2017",464,1750.9
"467","340-10391","Stenlille","2017",2083,1669.1
"468","340-10404","Vedde","2017",285,1583.3
"469","340-10441","Munke Bjergby","2017",311,1019.7
"470","340-10472","Sorø","2017",7927,1459.3
"471","340-11580","Niløse","2017",210,662.5
"472","340-17856","Lynge","2017",0,0
"473","340-99997","Uden fast bopæl","2017",38,0
"474","340-99999","Landdistrikter","2017",7751,26.3
"475","350-00350","Lejre Kommune","2017",0,0
"476","350-10029","Gershøj","2017",666,896.4
"477","350-10036","Gevninge","2017",1672,2077
"478","350-10037","Lejre","2017",2411,1528.9
"479","350-10039","Øm","2017",489,1397.1
"480","350-10163","Kirke Såby","2017",1695,1525.7
"481","350-10164","Torkilstrup","2017",241,1469.5
"482","350-10181","Kirke Hyllinge","2017",2159,1509.8
"483","350-10182","Sæby","2017",333,1332
"484","350-10743","Kirke Hvalsø","2017",4086,1789
"485","350-10815","Ejby","2017",1902,1570.6
"486","350-10852","Lyndby","2017",574,1663.8
"487","350-10853","Englerup","2017",304,1240.8
"488","350-10854","Vester Såby","2017",463,1596.6
"489","350-10855","Osted","2017",2156,1448
"490","350-10890","Kirke Sonnerup","2017",940,1718.5
"491","350-12965","Herslev","2017",222,1597.1
"492","350-14241","Gøderup","2017",0,0
"493","350-15675","Lindenborg","2017",268,718.5
"494","350-70087","Kyndeløse Sydmark","2017",454,343.4
"495","350-99997","Uden fast bopæl","2017",56,0
"496","350-99999","Landdistrikter","2017",6311,28.1
"497","360-00360","Lolland Kommune","2017",0,0
"498","360-10335","Dannemare","2017",428,850.9
"499","360-10345","Rødbyhavn","2017",1669,757.9
"500","360-10419","Rødby","2017",2085,1292.6
"501","360-10427","Errindlev","2017",284,863.2
"502","360-10443","Langø","2017",321,773.5
"503","360-10446","Horslunde","2017",627,831.6
"504","360-10448","Utterslev","2017",235,549.1
"505","360-10449","Sandby","2017",361,878.3
"506","360-10450","Branderslev","2017",221,956.7
"507","360-10491","Holeby","2017",1447,1064
"508","360-10492","Hillested","2017",233,797.9
"509","360-10506","Nakskov","2017",12758,1465.6
"510","360-10512","Stokkemarke","2017",418,767
"511","360-10513","Søllested","2017",1444,1148.8
"512","360-10514","Nørreballe","2017",520,874
"513","360-10527","Bandholm","2017",558,965.4
"514","360-10528","Hunseby","2017",425,974.8
"515","360-10542","Birket","2017",0,0
"516","360-10556","Vesterby","2017",0,0
"517","360-10559","Anderstrup","2017",0,0
"518","360-10560","Maribo","2017",5735,1406
"519","360-99997","Uden fast bopæl","2017",106,0
"520","360-99999","Landdistrikter","2017",12410,14.4
"521","370-00370","Næstved Kommune","2017",0,0
"522","370-10053","Brøderup","2017",0,0
"523","370-10067","Everdrup","2017",258,1183.5
"524","370-10086","Glumsø","2017",2167,1586.4
"525","370-10110","Fensmark","2017",4977,1536.6
"526","370-10111","Gelsted","2017",1244,1902.1
"527","370-10112","Holme-Olstrup","2017",1185,908.7
"528","370-10113","Næstved","2017",43234,2027.5
"529","370-10114","Rønnebæk","2017",557,2126
"530","370-10115","Mogenstrup","2017",1855,1173.3
"531","370-10145","Sandved","2017",727,1436.8
"532","370-10146","Tornemark","2017",293,887.9
"533","370-10147","Hyllinge","2017",463,1146
"534","370-10148","Menstrup","2017",234,1017.4
"535","370-10149","Skraverup","2017",220,1094.5
"536","370-10217","Karrebæksminde","2017",1810,1106.4
"537","370-10229","Lov","2017",562,1297.9
"538","370-10266","Toksværd","2017",829,1191.1
"539","370-10474","Fuglebjerg","2017",2192,1498.3
"540","370-10494","Skelby","2017",278,1144
"541","370-10653","Tappernøje","2017",1647,966
"542","370-10948","Herlufmagle","2017",1419,1248
"543","370-10949","Tybjerglille Bakker","2017",339,1412.5
"544","370-16822","Gangesbro","2017",0,0
"545","370-16913","Vallensved","2017",217,1014
"546","370-70112","Enø By","2017",333,232.9
