,municipality,up_until_year,count_of_stations,plugs,closest_in_meters,closest_in_meters_std
401,Guldborgsund,2018,8,34,3435.0,4898.577052865163
402,Haderslev,2018,8,44,5529.75,5378.424749470266
403,Halsnæs,2018,2,5,301.5,65.76093065034893
404,Hedensted,2018,5,48,4979.4,4350.140721861765
405,Helsingør,2018,4,15,660.5,353.731065453215
406,Herlev,2018,3,13,730.0,395.91286920230317
407,Herning,2018,8,36,6325.5,4839.801088002334
408,Hillerød,2018,6,21,410.1666666666667,374.4838670312336
409,Hjørring,2018,16,65,2135.25,3455.113379712259
410,Holbæk,2018,7,32,2793.714285714286,3127.0452887822453
411,Holstebro,2018,5,21,604.2,449.7084611167551
412,Horsens,2018,12,34,673.3333333333334,698.9142662123528
413,Hvidovre,2018,3,14,1138.0,490.1928192048513
414,Høje Taastrup,2018,7,50,894.1428571428571,486.5622360231109
415,Hørsholm,2018,3,18,861.0,659.1820689308835
416,Ikast-Brande,2018,2,4,962.0,964.4936495384508
417,Ishøj,2018,2,5,1115.0,1282.691701072397
418,Jammerbugt,2018,8,23,2284.0,3336.272684984162
419,Kalundborg,2018,7,23,5331.285714285715,5769.447885609325
420,Kerteminde,2018,2,2,4548.5,3922.3213152417793
421,Kolding,2018,11,47,2440.090909090909,3207.888603257459
422,København,2018,139,773,435.41007194244605,395.96756954289185
423,Køge,2018,7,78,673.0,804.9391281333018
424,Langeland,2018,5,12,8065.4,4684.4365509632
425,Lejre,2018,1,4,,
426,Lemvig,2018,1,2,,
427,Lolland,2018,4,13,5202.0,3657.0953865966726
428,Lyngby-Taarbæk,2018,9,50,539.7777777777778,534.2945764692399
429,Læsø,2018,2,7,1171.0,926.3098833543772
430,Mariagerfjord,2018,7,15,1675.4285714285713,528.3183564048156
431,Middelfart,2018,9,46,849.3333333333334,845.5483427930067
432,Morsø,2018,6,27,2671.5,3730.0449193005707
433,Norddjurs,2018,3,8,821.3333333333334,298.97380041290126
434,Nordfyns,2018,1,2,,
435,Nyborg,2018,7,35,390.2857142857143,379.632152785524
436,Næstved,2018,3,21,555.6666666666666,54.85739087245523
437,Odder,2018,2,6,483.0,0.0
438,Odense,2018,20,71,1092.75,1193.4738272437269
439,Odsherred,2018,1,3,,
440,Randers,2018,15,84,1377.5333333333333,1856.5617556065708
441,Rebild,2018,6,50,2393.0,3109.773432261585
442,Ringkøbing-Skjern,2018,9,29,5291.111111111111,3643.6553913770595
443,Ringsted,2018,2,5,115.0,39.59797974644666
444,Roskilde,2018,9,45,1401.6666666666667,1903.3447533224241
445,Rudersdal,2018,9,30,1361.111111111111,1044.9470613916817
446,Rødovre,2018,1,2,,
447,Samsø,2018,4,6,3569.75,2176.980228818504
448,Silkeborg,2018,15,36,1795.4666666666667,2101.6998517073425
449,Skanderborg,2018,9,44,3213.8888888888887,3925.7911446116327
450,Skive,2018,3,10,342.6666666666667,178.99813779292046
451,Slagelse,2018,12,58,908.25,1689.2925967021602
452,Sorø,2018,4,16,8344.75,11211.742099989042
453,Stevns,2018,3,5,5482.666666666667,3078.5596199088513
454,Struer,2018,1,2,,
455,Svendborg,2018,11,28,1898.1818181818182,2312.9720628741634
456,Syddjurs,2018,9,25,2999.8888888888887,2773.6052100310008
457,Sønderborg,2018,16,69,1179.1875,1303.053348549731
458,Thisted,2018,32,53,3041.84375,2826.451361226482
459,Tårnby,2018,8,46,481.25,367.25925058854153
460,Tønder,2018,4,8,3507.0,4088.149703716829
461,Varde,2018,9,18,4340.333333333333,4225.918184252979
462,Vejen,2018,4,7,4391.0,5893.493417886089
463,Vejle,2018,21,68,2508.1428571428573,2538.44653845052
464,Vesthimmerlands,2018,11,32,1696.1818181818182,2719.490166122386
465,Viborg,2018,12,42,4018.5833333333335,6542.647857895475
466,Vordingborg,2018,8,20,2550.5,2501.300690212423
467,Ærø,2018,1,1,,
468,Aabenraa,2019,13,110,1735.8461538461538,3889.154146386971
469,Aalborg,2019,31,115,1426.7096774193549,4044.696331358292
470,Aarhus,2019,54,228,1050.0185185185185,1197.3174968778496
471,Albertslund,2019,3,7,569.6666666666666,569.004686565351
472,Allerød,2019,1,4,,
473,Assens,2019,5,19,2387.6,1271.4174373509275
474,Ballerup,2019,8,38,868.5,897.6440592700745
475,Billund,2019,10,40,1721.0,2897.00880219581
476,Bornholm,2019,13,37,690.8461538461538,826.4865240032499
477,Brøndby,2019,2,6,1347.0,398.8082245892128
478,Brønderslev,2019,6,28,5416.666666666667,3585.784135536698
479,Dragør,2019,3,16,767.6666666666666,217.08600446213322
480,Egedal,2019,3,12,2846.0,999.5183840230253
481,Esbjerg,2019,14,41,10990.57142857143,30209.739205744903
482,Faaborg-Midtfyn,2019,2,8,4174.5,5585.436464592539
483,Fanø,2019,1,4,,
484,Favrskov,2019,1,1,,
485,Faxe,2019,3,6,5771.0,3488.7159528972834
486,Fredensborg,2019,3,11,2110.3333333333335,678.4926921738606
487,Fredericia,2019,12,48,855.0,794.3410076054467
488,Frederiksberg,2019,25,122,319.12,271.3431591177489
489,Frederikshavn,2019,15,40,2218.6666666666665,3627.09631339818
490,Frederikssund,2019,8,22,2881.875,5120.3243043915545
491,Furesø,2019,6,37,819.5,892.3933549730185
492,Gentofte,2019,9,43,596.6666666666666,556.0146131173174
493,Gladsaxe,2019,5,11,691.4,269.3488444378405
494,Glostrup,2019,7,22,990.7142857142857,1052.493343492128
495,Greve,2019,6,33,1379.6666666666667,1527.9134355933477
496,Gribskov,2019,5,10,1500.6,906.313577080251
497,Guldborgsund,2019,8,34,3435.0,4898.577052865163
498,Haderslev,2019,8,44,5529.75,5378.424749470266
499,Halsnæs,2019,3,9,5428.333333333333,8880.057563627239
500,Hedensted,2019,7,55,4049.8571428571427,3894.5318258883367
501,Helsingør,2019,5,16,694.6,315.68702855834925
502,Herlev,2019,4,19,886.75,450.31128122666433
503,Herning,2019,10,39,6350.3,4957.15474059689
504,Hillerød,2019,10,38,693.9,872.2646705877497
505,Hjørring,2019,17,69,2725.5882352941176,4137.170818609372
506,Holbæk,2019,7,32,2793.714285714286,3127.0452887822453
507,Holstebro,2019,6,22,619.5,403.9736377537524
508,Horsens,2019,15,38,678.0666666666667,674.1883444628244
509,Hvidovre,2019,4,16,1183.5,410.45543810097905
510,Høje Taastrup,2019,9,52,740.4444444444445,521.645500103066
511,Hørsholm,2019,3,18,861.0,659.1820689308835
512,Ikast-Brande,2019,2,4,962.0,964.4936495384508
513,Ishøj,2019,2,5,1115.0,1282.691701072397
514,Jammerbugt,2019,12,36,1798.9166666666667,2768.300806643058
515,Kalundborg,2019,7,23,5331.285714285715,5769.447885609325
516,Kerteminde,2019,2,2,4548.5,3922.3213152417793
